id;acronym;name;sl_start;sl_end;sl_peak;start_date;end_date;peak_date;ra;dec;r;s
6;LYR;April Lyrids                            ;22.53;38.02;32.18;11/04/2025;27/04/2025;21/04/2025;272.20;33.40;2.1;1.81
31;ETA;eta-Aquariids                           ;35.72;66.72;46.55;25/04/2025;26/05/2025;06/05/2025;338.50;-0.60;2.4;1.95
171;ARI;Daytime Arietids                        ;70.25;88.63;76.00;30/05/2025;17/06/2025;05/06/2025;43.00;24.30;2.8;2.12
172;ZPE;Daytime zeta-Perseids                   ;74.84;79.84;77.50;03/06/2025;09/06/2025;06/06/2025;60.70;22.30;;
173;BTA;Daytime beta-Taurids                    ;90.00;100.00;93.50;19/06/2025;29/06/2025;22/06/2025;82.00;20.00;;
5;SDA;Southern delta-Aquariids                ;117.91;148.84;129.60;17/07/2025;18/08/2025;29/07/2025;342.10;-15.90;2.5;1.99
7;PER;Perseids                                ;119.56;159.98;138.06;19/07/2025;29/08/2025;07/08/2025;45.50;57.50;2.2;1.86
8;ORI;Orionids                                ;200.28;229.82;210.17;09/10/2025;08/11/2025;19/10/2025;97.00;15.70;2.5;1.99
13;LEO;Leonids                                 ;217.46;258.99;236.57;26/10/2025;07/12/2025;15/11/2025;154.60;21.40;2.5;1.99
4;GEM;Geminids                                ;252.00;262.00;268.00;04/12/2025;20/12/2025;14/12/2025;113.50;32.30;2.6;2.04
15;URS;Ursids                                  ;260.28;279.93;269.90;09/12/2025;29/12/2025;18/12/2025;218.10;76.40;2.8;2.12
10;QUA;Quadrantids                             ;280.04;289.76;283.40;29/12/2025;07/01/2025;01/01/2025;230.00;49.80;2.1;1.81
